model_name,chunker,token_size,overlap,loss_total,ndcg_at_10,map_at_10,mrr_at_10,recall_at_20,precision_at_1,precision_at_10,loss_ndcg,loss_map,loss_mrr,loss_rec,loss_decay,loss_rob,loss_cost,nauc_ndcg_at_10_max,nauc_ndcg_at_10_std,cost_norm,rel_path
intfloat_e5_small,hierarchical_section,192,32,0.727848,0.169920,0.090010,0.316657,0.290390,0.176470,0.140650,0.830080,0.909990,0.683343,0.709610,0.202981,0.457387,0.000000,0.119580,0.022115,1.000000,intfloat_e5_small_hierarchical_section_c192_o32/results/intfloat__e5-small_e272f3049e853b47cb5ca3952268c6662abda68f/intfloat__e5-small/e272f3049e853b47cb5ca3952268c6662abda68f
intfloat_e5_large,recursive_token,192,32,0.728034,0.173930,0.093650,0.324830,0.301130,0.182770,0.142650,0.826070,0.906350,0.675170,0.698870,0.219511,0.533050,0.000000,0.094640,0.002500,1.000000,intfloat_e5_large_recursive_token_c192_o32/results/intfloat__e5-large_4dc6d853a804b9c8886ede6dda8a073b7dc08a81/intfloat__e5-large/4dc6d853a804b9c8886ede6dda8a073b7dc08a81
intfloat_multilingual_e5_base,hierarchical_section,192,16,0.728294,0.164620,0.085610,0.312704,0.282240,0.174370,0.134240,0.835380,0.914390,0.687296,0.717760,0.230143,0.349638,0.000000,0.153986,0.047827,1.000000,intfloat_multilingual_e5_base_hierarchical_section_c192_o16/results/intfloat__multilingual-e5-base_d13f1b27baf31030b7fd040960d60d909913633f/intfloat__multilingual-e5-base/d13f1b27baf31030b7fd040960d60d909913633f
BAAI_bge_base_en_v1.5,hierarchical_section,192,16,0.728528,0.175110,0.092810,0.325396,0.304180,0.194330,0.145690,0.824890,0.907190,0.674604,0.695820,0.250296,0.526637,0.000000,0.095655,0.001965,1.000000,BAAI_bge_base_en_v1.5_hierarchical_section_c192_o16/results/BAAI__bge-base-en-v1.5_a5beb1e3e68b9ab74eb54cfd186867f64f240e1a/BAAI__bge-base-en-v1.5/a5beb1e3e68b9ab74eb54cfd186867f64f240e1a
BAAI_bge_large_en_v1.5,fixed_token,192,16,0.728638,0.178530,0.095500,0.341194,0.303720,0.204830,0.144750,0.821470,0.904500,0.658806,0.696280,0.293316,0.558050,0.000000,0.090328,0.003876,1.000000,BAAI_bge_large_en_v1.5_fixed_token_c192_o16/results/BAAI__bge-large-en-v1.5_d4aa6901d3a41ba39fb536a557fa166f842b0e09/BAAI__bge-large-en-v1.5/d4aa6901d3a41ba39fb536a557fa166f842b0e09
intfloat_e5_small,semantic_recursive,256,64,0.728911,0.173570,0.092680,0.321506,0.291880,0.191180,0.145060,0.826430,0.907320,0.678494,0.708120,0.241239,0.496598,0.000000,0.109325,0.017289,1.000000,intfloat_e5_small_semantic_recursive_c256_o64/results/intfloat__e5-small_e272f3049e853b47cb5ca3952268c6662abda68f/intfloat__e5-small/e272f3049e853b47cb5ca3952268c6662abda68f
intfloat_multilingual_e5_base,semantic_fixed,192,16,0.729116,0.164250,0.084280,0.310414,0.284810,0.169120,0.136660,0.835750,0.915720,0.689586,0.715190,0.191935,0.396197,0.000000,0.125148,0.008775,1.000000,intfloat_multilingual_e5_base_semantic_fixed_c192_o16/results/intfloat__multilingual-e5-base_d13f1b27baf31030b7fd040960d60d909913633f/intfloat__multilingual-e5-base/d13f1b27baf31030b7fd040960d60d909913633f
BAAI_bge_base_en_v1.5,recursive_token,192,32,0.729489,0.158170,0.081720,0.297394,0.289200,0.157560,0.134450,0.841830,0.918280,0.702606,0.710800,0.146674,0.366710,0.000000,0.148394,0.043472,1.000000,BAAI_bge_base_en_v1.5_recursive_token_c192_o32/results/BAAI__bge-base-en-v1.5_a5beb1e3e68b9ab74eb54cfd186867f64f240e1a/BAAI__bge-base-en-v1.5/a5beb1e3e68b9ab74eb54cfd186867f64f240e1a
intfloat_e5_small,hierarchical_section,192,16,0.729587,0.174900,0.093850,0.327950,0.297730,0.194330,0.142330,0.825100,0.906150,0.672050,0.702270,0.267586,0.525013,0.000000,0.105921,0.021847,1.000000,intfloat_e5_small_hierarchical_section_c192_o16/results/intfloat__e5-small_e272f3049e853b47cb5ca3952268c6662abda68f/intfloat__e5-small/e272f3049e853b47cb5ca3952268c6662abda68f
intfloat_e5_large,semantic_fixed,192,16,0.730231,0.172360,0.091810,0.323721,0.296920,0.189080,0.141490,0.827640,0.908190,0.676279,0.703080,0.251692,0.512698,0.000000,0.098374,-0.001827,1.000000,intfloat_e5_large_semantic_fixed_c192_o16/results/intfloat__e5-large_4dc6d853a804b9c8886ede6dda8a073b7dc08a81/intfloat__e5-large/4dc6d853a804b9c8886ede6dda8a073b7dc08a81
